,roe,ratio1,ratio2,ratio3,ratio4,ratio5,ratio6,ratio7,ratio8,ratio9,ratio10,ratio11,ev,type1,type2,type3,type4,type5
1,1,0.87 ,54.77 ,107.72 ,45.23 ,92.30 ,0.07 ,0.63 ,158.04 ,6.90 ,8.24 ,23.02 ,2627326.58 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 
2,1,1.09 ,57.48 ,109.84 ,42.52 ,90.49 ,0.26 ,0.73 ,197.07 ,9.48 ,11.05 ,33.28 ,150028.63 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
3,1,1.01 ,58.22 ,107.99 ,41.78 ,92.05 ,0.14 ,0.26 ,183.37 ,7.66 ,8.69 ,34.10 ,168341.24 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
4,1,1.04 ,55.31 ,109.49 ,44.69 ,91.46 ,0.24 ,1.15 ,190.65 ,8.25 ,9.09 ,30.39 ,156873.14 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
5,1,1.05 ,63.17 ,107.96 ,36.83 ,91.61 ,0.20 ,0.37 ,211.14 ,6.96 ,9.15 ,32.61 ,172680.74 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
6,0,0.40 ,77.23 ,110.04 ,22.77 ,92.68 ,0.09 ,0.40 ,347.96 ,6.09 ,7.88 ,31.20 ,388441.80 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 
7,0,0.90 ,56.89 ,106.86 ,43.11 ,92.39 ,0.17 ,0.38 ,207.81 ,7.41 ,8.06 ,38.57 ,211643.85 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
8,0,0.48 ,78.84 ,104.09 ,21.16 ,91.61 ,0.03 ,0.22 ,378.76 ,7.00 ,8.23 ,30.34 ,398973.11 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
9,1,1.08 ,50.03 ,122.58 ,49.97 ,90.78 ,0.53 ,0.56 ,155.70 ,7.96 ,9.34 ,30.97 ,200454.19 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
10,1,0.71 ,58.09 ,106.36 ,41.91 ,93.33 ,0.04 ,0.30 ,193.55 ,6.00 ,7.52 ,34.29 ,333402.40 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 
11,0,0.66 ,62.24 ,105.96 ,37.76 ,92.79 ,0.04 ,0.40 ,222.52 ,7.18 ,8.42 ,28.78 ,381224.36 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 
12,0,0.60 ,73.14 ,109.80 ,26.86 ,93.09 ,0.04 ,0.48 ,264.30 ,5.69 ,6.99 ,34.97 ,479958.91 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 
13,1,1.26 ,61.82 ,114.09 ,38.18 ,91.62 ,0.21 ,0.45 ,226.27 ,7.97 ,9.31 ,38.58 ,271756.55 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
14,1,0.82 ,65.18 ,109.15 ,34.82 ,92.97 ,0.09 ,0.91 ,221.64 ,5.72 ,7.95 ,26.36 ,467555.78 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 
15,1,1.00 ,58.10 ,118.00 ,41.90 ,92.29 ,0.06 ,0.88 ,169.81 ,7.01 ,8.78 ,32.76 ,495184.96 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 
16,1,0.96 ,53.17 ,104.57 ,46.83 ,92.48 ,0.05 ,0.96 ,171.86 ,6.79 ,8.24 ,25.25 ,618191.08 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 
17,1,1.08 ,56.47 ,108.50 ,43.53 ,90.92 ,0.07 ,0.89 ,203.56 ,8.41 ,9.74 ,26.80 ,587227.38 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 
18,1,1.02 ,61.85 ,109.76 ,38.15 ,93.13 ,0.06 ,0.58 ,206.86 ,6.17 ,7.77 ,28.30 ,854871.29 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 
19,0,0.48 ,81.38 ,88.58 ,18.62 ,91.10 ,0.03 ,0.76 ,436.51 ,7.24 ,9.19 ,22.99 ,533187.84 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 
20,0,0.88 ,59.95 ,108.46 ,40.05 ,91.49 ,0.07 ,1.63 ,219.76 ,8.13 ,9.16 ,31.84 ,1217248.56 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
21,1,0.86 ,60.54 ,109.44 ,39.46 ,93.90 ,0.05 ,0.58 ,175.79 ,4.84 ,6.85 ,29.64 ,1550533.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 
22,1,1.12 ,46.64 ,108.61 ,53.36 ,91.75 ,0.15 ,0.53 ,151.83 ,8.12 ,8.99 ,30.43 ,1182767.01 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
23,0,0.65 ,74.06 ,99.43 ,25.94 ,93.67 ,0.05 ,0.52 ,297.28 ,5.29 ,7.16 ,27.46 ,2472834.87 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 
24,1,1.14 ,51.15 ,128.67 ,48.85 ,92.34 ,0.09 ,1.13 ,124.06 ,6.16 ,7.82 ,29.75 ,1934443.99 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 
25,1,1.15 ,56.13 ,112.35 ,43.87 ,92.88 ,0.06 ,0.56 ,148.42 ,6.34 ,8.18 ,37.29 ,2249624.52 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 
26,0,0.84 ,59.35 ,104.56 ,40.65 ,90.83 ,0.07 ,0.77 ,190.45 ,6.86 ,10.15 ,26.55 ,3029499.26 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 
27,1,1.17 ,53.70 ,108.77 ,46.30 ,92.77 ,0.07 ,1.31 ,160.18 ,5.76 ,8.08 ,24.52 ,2738532.71 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 
28,0,0.89 ,64.08 ,107.52 ,35.92 ,91.71 ,0.06 ,0.57 ,221.22 ,6.79 ,8.84 ,30.13 ,3541281.48 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 
29,0,0.52 ,73.74 ,104.48 ,26.26 ,91.55 ,0.06 ,0.43 ,289.11 ,7.15 ,8.82 ,35.61 ,6584920.12 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 
30,0,0.92 ,63.08 ,105.29 ,36.92 ,91.91 ,0.06 ,0.18 ,203.08 ,6.37 ,8.58 ,27.88 ,5753101.71 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 
31,1,1.12 ,68.05 ,109.92 ,31.95 ,91.83 ,0.08 ,0.67 ,227.29 ,6.80 ,8.78 ,27.45 ,5028174.88 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 
32,0,0.67 ,70.17 ,104.21 ,29.83 ,91.88 ,0.04 ,0.36 ,238.06 ,6.86 ,8.69 ,27.89 ,7732345.82 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 
33,0,0.89 ,65.32 ,106.72 ,34.68 ,91.98 ,0.07 ,0.25 ,205.20 ,6.66 ,8.51 ,30.53 ,7699901.63 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 
34,1,0.69 ,72.78 ,103.80 ,27.22 ,94.13 ,0.69 ,0.02 ,299.45 ,4.84 ,6.52 ,61.41 ,13403911.85 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 
35,1,1.19 ,52.26 ,109.07 ,47.74 ,91.83 ,0.09 ,0.21 ,136.76 ,7.22 ,8.77 ,29.16 ,8371196.95 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 
36,0,0.80 ,64.11 ,105.99 ,35.89 ,92.03 ,0.18 ,0.50 ,173.03 ,6.65 ,8.91 ,28.14 ,11869781.36 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 
37,1,1.70 ,52.10 ,110.23 ,47.90 ,90.59 ,0.62 ,0.22 ,132.17 ,8.09 ,10.17 ,32.88 ,9828030.31 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 
